metric,neg_weight,down_blocks_0_attentions_0_transformer_blocks_0,down_blocks_0_attentions_1_transformer_blocks_0,down_blocks_1_attentions_0_transformer_blocks_0,down_blocks_1_attentions_1_transformer_blocks_0,down_blocks_2_attentions_0_transformer_blocks_0,down_blocks_2_attentions_1_transformer_blocks_0,up_blocks_1_attentions_0_transformer_blocks_0,up_blocks_1_attentions_1_transformer_blocks_0,up_blocks_1_attentions_2_transformer_blocks_0,up_blocks_2_attentions_0_transformer_blocks_0,up_blocks_2_attentions_1_transformer_blocks_0,up_blocks_2_attentions_2_transformer_blocks_0,up_blocks_3_attentions_0_transformer_blocks_0,up_blocks_3_attentions_1_transformer_blocks_0,up_blocks_3_attentions_2_transformer_blocks_0,mid_block_attentions_0_transformer_blocks_0
gamma_net_norm,0,6.230119,4.789071,6.577665,3.818400,6.366885,6.604974,8.326852,8.725863,8.037630,3.937771,5.252186,5.892807,4.094066,6.393849,5.207266,1.304591
beta_net_norm,0,5.526517,3.813507,5.631309,3.097551,5.882223,6.056861,7.750323,10.372650,10.162885,11.341724,10.696342,9.200149,10.565222,11.451268,11.594066,1.883540
gamma_net_norm,0.5,8.822008,6.058547,8.492351,4.675649,7.725631,7.777542,10.026186,10.669984,10.639298,5.521521,8.214481,9.921766,8.289893,13.409250,8.908701,1.814662
beta_net_norm,0.5,7.808257,4.822072,7.277872,3.780210,7.133615,7.127104,9.333183,12.673479,13.505095,16.024719,16.769745,15.587403,21.332983,23.994081,19.702291,2.620317
gamma_net_norm,1,11.414458,7.328185,10.407948,5.533247,9.085091,8.950501,11.726447,12.616825,13.247995,7.115839,11.182814,13.955301,12.487277,20.426699,12.613810,2.324737
beta_net_norm,1,10.090594,5.831028,8.925617,4.463665,8.386436,8.198078,10.917139,14.976337,16.850853,20.708916,22.844248,21.975794,32.101154,36.537704,27.811745,3.357100
gamma_pos_norm,-,6.230119,4.789071,6.577665,3.818400,6.366885,6.604974,8.326852,8.725863,8.037630,3.937771,5.252186,5.892807,4.094066,6.393849,5.207266,1.304591
gamma_na_norm,-,5.186251,2.539876,3.834323,1.716754,2.722262,2.348124,3.405054,3.905858,5.238998,3.214600,5.947332,8.073748,8.396287,14.036754,7.415377,1.020164
beta_pos_norm,-,5.526517,3.813507,5.631309,3.097551,5.882223,6.056861,7.750323,10.372650,10.162885,11.341724,10.696342,9.200149,10.565222,11.451268,11.594066,1.883540
beta_na_norm,-,4.566120,2.019383,3.299525,1.370514,2.512349,2.146090,3.173274,4.614842,6.702290,9.371301,12.150945,12.778418,21.536743,25.087980,16.220663,1.473576
