metric,neg_weight,down_blocks_0_attentions_0_transformer_blocks_0,down_blocks_0_attentions_1_transformer_blocks_0,down_blocks_1_attentions_0_transformer_blocks_0,down_blocks_1_attentions_1_transformer_blocks_0,down_blocks_2_attentions_0_transformer_blocks_0,down_blocks_2_attentions_1_transformer_blocks_0,up_blocks_1_attentions_0_transformer_blocks_0,up_blocks_1_attentions_1_transformer_blocks_0,up_blocks_1_attentions_2_transformer_blocks_0,up_blocks_2_attentions_0_transformer_blocks_0,up_blocks_2_attentions_1_transformer_blocks_0,up_blocks_2_attentions_2_transformer_blocks_0,up_blocks_3_attentions_0_transformer_blocks_0,up_blocks_3_attentions_1_transformer_blocks_0,up_blocks_3_attentions_2_transformer_blocks_0,mid_block_attentions_0_transformer_blocks_0
gamma_net_norm,0,6.133149,4.371621,6.448589,3.586503,5.770149,6.412676,7.872701,8.186095,7.416461,3.963661,5.273133,6.057138,4.179908,6.106455,5.258659,1.275742
beta_net_norm,0,5.334406,3.404542,5.367175,2.865503,5.294537,5.851468,7.183363,9.274178,8.857638,9.955878,9.959782,9.029042,10.087187,10.745920,11.258169,1.802134
gamma_net_norm,0.5,8.458480,5.421751,8.215619,4.377431,6.835248,7.518222,9.199916,9.951542,9.772553,5.529989,8.195301,10.065600,8.375491,12.728021,8.998727,1.785262
beta_net_norm,0.5,7.321108,4.212825,6.847379,3.489428,6.269567,6.859791,8.395391,11.264738,11.696258,13.967688,15.507319,15.091559,20.143898,22.380966,19.143295,2.522042
gamma_net_norm,1,10.784312,6.472050,9.983493,5.168742,7.900989,8.624170,10.527863,11.719273,12.135063,7.105059,11.122418,14.077568,12.572369,19.351454,12.742931,2.294792
beta_net_norm,1,9.308349,5.021470,8.328650,4.114267,7.245872,7.868898,9.608361,13.257154,14.538508,17.980591,21.055864,21.154991,30.201010,34.016834,27.029705,3.241962
gamma_pos_norm,-,6.133149,4.371621,6.448589,3.586503,5.770149,6.412676,7.872701,8.186095,7.416461,3.963661,5.273133,6.057138,4.179908,6.106455,5.258659,1.275742
gamma_na_norm,-,4.652987,2.101293,3.538829,1.584355,2.134953,2.214217,2.660221,3.546028,4.745124,3.172039,5.863143,8.029224,8.395041,13.248589,7.494214,1.019085
beta_pos_norm,-,5.334406,3.404542,5.367175,2.865503,5.294537,5.851468,7.183363,9.274178,8.857638,9.955878,9.959782,9.029042,10.087187,10.745920,11.258169,1.802134
beta_na_norm,-,3.975930,1.618818,2.966413,1.253867,1.959510,2.022756,2.431498,3.993447,5.695811,8.028521,11.098897,12.128225,20.114620,23.272497,15.774645,1.439873
