metric,neg_weight,down_blocks_0_attentions_0_transformer_blocks_0,down_blocks_0_attentions_1_transformer_blocks_0,down_blocks_1_attentions_0_transformer_blocks_0,down_blocks_1_attentions_1_transformer_blocks_0,down_blocks_2_attentions_0_transformer_blocks_0,down_blocks_2_attentions_1_transformer_blocks_0,up_blocks_1_attentions_0_transformer_blocks_0,up_blocks_1_attentions_1_transformer_blocks_0,up_blocks_1_attentions_2_transformer_blocks_0,up_blocks_2_attentions_0_transformer_blocks_0,up_blocks_2_attentions_1_transformer_blocks_0,up_blocks_2_attentions_2_transformer_blocks_0,up_blocks_3_attentions_0_transformer_blocks_0,up_blocks_3_attentions_1_transformer_blocks_0,up_blocks_3_attentions_2_transformer_blocks_0,mid_block_attentions_0_transformer_blocks_0
gamma_net_norm,0,6.163632,4.695535,6.356488,3.760404,6.316180,6.538870,8.152920,8.658728,7.944078,3.939327,5.287600,5.892045,4.106274,6.357999,5.212091,1.290040
beta_net_norm,0,5.436677,3.729507,5.417364,3.043941,5.815140,5.979645,7.579395,10.249164,9.944883,11.029703,10.623071,9.126549,10.449340,11.328694,11.485461,1.866607
gamma_net_norm,0.5,8.667901,5.893572,8.010246,4.574680,7.637753,7.624650,9.748349,10.557823,10.506756,5.506296,8.235173,9.891354,8.291710,13.297476,8.916814,1.795847
beta_net_norm,0.5,7.621662,4.675879,6.824516,3.692285,7.027741,6.964883,9.065027,12.486843,13.195956,15.517432,16.583586,15.415574,21.059385,23.660351,19.518641,2.598233
gamma_net_norm,1,11.172717,7.091767,9.664880,5.389304,8.960011,8.710814,11.344714,12.459485,13.076268,7.083497,11.188484,13.895114,12.478765,20.239050,12.625388,2.301661
beta_net_norm,1,9.807257,5.622650,8.232819,4.341469,8.241833,7.950862,10.551792,14.726477,16.450413,20.006361,22.545156,21.705727,31.669847,35.992779,27.553074,3.329869
gamma_pos_norm,-,6.163632,4.695535,6.356488,3.760404,6.316180,6.538870,8.152920,8.658728,7.944078,3.939327,5.287600,5.892045,4.106274,6.357999,5.212091,1.290040
gamma_na_norm,-,5.010981,2.397005,3.312623,1.630852,2.647799,2.174655,3.197524,3.814997,5.160110,3.179826,5.916881,8.014066,8.375696,13.885072,7.422562,1.011644
beta_pos_norm,-,5.436677,3.729507,5.417364,3.043941,5.815140,5.979645,7.579395,10.249164,9.944883,11.029703,10.623071,9.126549,10.449340,11.328694,11.485461,1.866607
beta_na_norm,-,4.372711,1.895106,2.821029,1.302299,2.435310,1.976443,2.979310,4.488192,6.519246,8.980804,11.925028,12.581941,21.221338,24.665567,16.070660,1.463294
