metric,neg_weight,down_blocks_0_attentions_0_transformer_blocks_0,down_blocks_0_attentions_1_transformer_blocks_0,down_blocks_1_attentions_0_transformer_blocks_0,down_blocks_1_attentions_1_transformer_blocks_0,down_blocks_2_attentions_0_transformer_blocks_0,down_blocks_2_attentions_1_transformer_blocks_0,up_blocks_1_attentions_0_transformer_blocks_0,up_blocks_1_attentions_1_transformer_blocks_0,up_blocks_1_attentions_2_transformer_blocks_0,up_blocks_2_attentions_0_transformer_blocks_0,up_blocks_2_attentions_1_transformer_blocks_0,up_blocks_2_attentions_2_transformer_blocks_0,up_blocks_3_attentions_0_transformer_blocks_0,up_blocks_3_attentions_1_transformer_blocks_0,up_blocks_3_attentions_2_transformer_blocks_0,mid_block_attentions_0_transformer_blocks_0
gamma_net_norm,0,6.127943,4.493161,6.441016,3.552123,6.073719,6.351537,8.116495,8.461210,7.719971,4.002979,5.160503,5.779389,4.086221,6.193151,5.169391,1.275720
beta_net_norm,0,5.390678,3.541634,5.441439,2.870962,5.582093,5.816142,7.498227,9.866897,9.514396,10.616360,10.219806,8.841385,10.246067,11.017862,11.297940,1.834526
gamma_net_norm,0.5,8.602406,5.586110,8.198225,4.306696,7.307601,7.411493,9.642004,10.333961,10.193065,5.611322,8.035352,9.694098,8.233347,12.912462,8.835239,1.775482
beta_net_norm,0.5,7.546188,4.394541,6.929185,3.469730,6.712552,6.783506,8.908567,12.044212,12.610687,14.976212,15.926156,14.910630,20.557257,22.934650,19.190857,2.553974
gamma_net_norm,1,11.077409,6.679231,9.956266,5.061641,8.542150,8.471816,11.168325,12.209141,12.672718,7.229137,10.915739,13.613189,12.381901,19.633707,12.504538,2.275251
beta_net_norm,1,9.702373,5.247917,8.418035,4.069388,7.844404,7.751554,10.319920,14.223543,15.710399,19.337236,21.633533,20.981064,30.868834,34.852222,27.084871,3.273431
gamma_pos_norm,-,6.127943,4.493161,6.441016,3.552123,6.073719,6.351537,8.116495,8.461210,7.719971,4.002979,5.160503,5.779389,4.086221,6.193151,5.169391,1.275720
gamma_na_norm,-,4.951337,2.186951,3.519129,1.511641,2.472374,2.122834,3.056963,3.761304,4.979678,3.258955,5.770680,7.844638,8.298516,13.444269,7.343456,0.999555
beta_pos_norm,-,5.390678,3.541634,5.441439,2.870962,5.582093,5.816142,7.498227,9.866897,9.514396,10.616360,10.219806,8.841385,10.246067,11.017862,11.297940,1.834526
beta_na_norm,-,4.314049,1.708697,2.981733,1.203563,2.270555,1.940196,2.828070,4.367770,6.209910,8.724905,11.416598,12.142598,20.623529,23.835873,15.789598,1.438934
