metric,neg_weight,down_blocks_0_attentions_0_transformer_blocks_0,down_blocks_0_attentions_1_transformer_blocks_0,down_blocks_1_attentions_0_transformer_blocks_0,down_blocks_1_attentions_1_transformer_blocks_0,down_blocks_2_attentions_0_transformer_blocks_0,down_blocks_2_attentions_1_transformer_blocks_0,up_blocks_1_attentions_0_transformer_blocks_0,up_blocks_1_attentions_1_transformer_blocks_0,up_blocks_1_attentions_2_transformer_blocks_0,up_blocks_2_attentions_0_transformer_blocks_0,up_blocks_2_attentions_1_transformer_blocks_0,up_blocks_2_attentions_2_transformer_blocks_0,up_blocks_3_attentions_0_transformer_blocks_0,up_blocks_3_attentions_1_transformer_blocks_0,up_blocks_3_attentions_2_transformer_blocks_0,mid_block_attentions_0_transformer_blocks_0
gamma_net_norm,0,4.745367,2.476762,4.499588,2.768822,4.015948,4.760424,4.724571,6.066885,7.182015,3.767749,5.152293,5.227011,3.869129,5.356598,4.376333,0.747300
beta_net_norm,0,3.603344,1.705560,3.327663,2.210158,3.661490,4.169879,4.014692,5.620721,7.403872,6.404817,7.867456,6.577147,7.671122,8.377545,7.758411,0.935558
gamma_net_norm,0.5,6.801723,3.080820,5.456351,3.274322,4.704891,5.387827,5.464336,7.581344,9.776874,5.512962,8.116668,8.852989,7.751595,11.328931,7.591839,1.082453
beta_net_norm,0.5,5.138855,2.109945,4.037024,2.608965,4.282322,4.717421,4.644195,7.019042,10.110788,9.376263,12.369040,11.145121,15.292904,17.631794,13.488377,1.355165
gamma_net_norm,1,8.858666,3.685127,6.413676,3.780020,5.394247,6.015416,6.204523,9.096658,12.373976,7.260950,11.083089,12.481461,11.634645,17.302448,10.808279,1.417610
beta_net_norm,1,6.675084,2.515122,4.747326,3.008233,4.903888,5.265252,5.274256,8.418432,12.819382,12.348459,16.871498,15.713954,22.914967,26.886696,19.218601,1.774779
gamma_pos_norm,-,4.745367,2.476762,4.499588,2.768822,4.015948,4.760424,4.724571,6.066885,7.182015,3.767749,5.152293,5.227011,3.869129,5.356598,4.376333,0.747300
gamma_na_norm,-,4.115239,1.209636,1.917292,1.012482,1.381108,1.256587,1.483070,3.034049,5.200403,3.501951,5.936394,7.260534,7.766683,11.948096,6.434148,0.670325
beta_pos_norm,-,3.603344,1.705560,3.327663,2.210158,3.661490,4.169879,4.014692,5.620721,7.403872,6.404817,7.867456,6.577147,7.671122,8.377545,7.758411,0.935558
beta_na_norm,-,3.074141,0.813688,1.425000,0.801081,1.247440,1.097858,1.263669,2.803073,5.421767,5.946014,9.006434,9.138905,15.244411,18.510391,11.460800,0.839243
