metric,neg_weight,down_blocks_0_attentions_0_transformer_blocks_0,down_blocks_0_attentions_1_transformer_blocks_0,down_blocks_1_attentions_0_transformer_blocks_0,down_blocks_1_attentions_1_transformer_blocks_0,down_blocks_2_attentions_0_transformer_blocks_0,down_blocks_2_attentions_1_transformer_blocks_0,up_blocks_1_attentions_0_transformer_blocks_0,up_blocks_1_attentions_1_transformer_blocks_0,up_blocks_1_attentions_2_transformer_blocks_0,up_blocks_2_attentions_0_transformer_blocks_0,up_blocks_2_attentions_1_transformer_blocks_0,up_blocks_2_attentions_2_transformer_blocks_0,up_blocks_3_attentions_0_transformer_blocks_0,up_blocks_3_attentions_1_transformer_blocks_0,up_blocks_3_attentions_2_transformer_blocks_0,mid_block_attentions_0_transformer_blocks_0
gamma_net_norm,0,6.245191,4.764551,6.534981,3.799292,6.356304,6.597199,8.293387,8.705924,8.008097,3.914804,5.263349,5.879141,4.092035,6.390270,5.193086,1.308499
beta_net_norm,0,5.541478,3.789540,5.586158,3.082751,5.870660,6.049911,7.715971,10.346056,10.108818,11.189320,10.684271,9.161043,10.529916,11.415610,11.530318,1.885656
gamma_net_norm,0.5,8.864381,6.011347,8.408115,4.639349,7.696240,7.752335,9.954476,10.641604,10.603384,5.490324,8.221998,9.899289,8.282623,13.396297,8.889880,1.819830
beta_net_norm,0.5,7.852592,4.776983,7.193237,3.751502,7.104378,7.104127,9.262217,12.636369,13.439406,15.809766,16.727324,15.521966,21.259224,23.903688,19.606953,2.622902
gamma_net_norm,1,11.484132,7.258302,10.282137,5.479752,9.036875,8.907861,11.616457,12.579950,13.205714,7.076387,11.186629,13.924088,12.474774,20.404324,12.590243,2.331165
beta_net_norm,1,10.164309,5.764832,8.801447,4.421007,8.339468,8.159068,10.809520,14.928702,16.773544,20.431417,22.771471,21.884024,31.988937,36.392555,27.684792,3.360154
gamma_pos_norm,-,6.245191,4.764551,6.534981,3.799292,6.356304,6.597199,8.293387,8.705924,8.008097,3.914804,5.263349,5.879141,4.092035,6.390270,5.193086,1.308499
gamma_na_norm,-,5.240835,2.494523,3.751129,1.682372,2.684582,2.313279,3.328410,3.888649,5.226277,3.198002,5.939866,8.056387,8.385826,14.017881,7.405729,1.022686
beta_pos_norm,-,5.541478,3.789540,5.586158,3.082751,5.870660,6.049911,7.715971,10.346056,10.108818,11.189320,10.684271,9.161043,10.529916,11.415610,11.530318,1.885656
beta_na_norm,-,4.624883,1.977247,3.220346,1.342476,2.476693,2.114036,3.099863,4.593772,6.679029,9.246225,12.090238,12.725748,21.459822,24.978464,16.157391,1.474517
