metric,neg_weight,down_blocks_0_attentions_0_transformer_blocks_0,down_blocks_0_attentions_1_transformer_blocks_0,down_blocks_1_attentions_0_transformer_blocks_0,down_blocks_1_attentions_1_transformer_blocks_0,down_blocks_2_attentions_0_transformer_blocks_0,down_blocks_2_attentions_1_transformer_blocks_0,up_blocks_1_attentions_0_transformer_blocks_0,up_blocks_1_attentions_1_transformer_blocks_0,up_blocks_1_attentions_2_transformer_blocks_0,up_blocks_2_attentions_0_transformer_blocks_0,up_blocks_2_attentions_1_transformer_blocks_0,up_blocks_2_attentions_2_transformer_blocks_0,up_blocks_3_attentions_0_transformer_blocks_0,up_blocks_3_attentions_1_transformer_blocks_0,up_blocks_3_attentions_2_transformer_blocks_0,mid_block_attentions_0_transformer_blocks_0
gamma_net_norm,0,6.220498,4.785418,6.578249,3.817477,6.365887,6.606029,8.326669,8.726957,8.039285,3.945611,5.248770,5.894691,4.098537,6.396901,5.209848,1.304648
beta_net_norm,0,5.517095,3.809347,5.631308,3.096884,5.880973,6.058118,7.749470,10.372832,10.163220,11.343727,10.687301,9.200692,10.568323,11.456741,11.595613,1.883888
gamma_net_norm,0.5,8.802249,6.051076,8.492761,4.674420,7.721651,7.777396,10.024203,10.667836,10.639576,5.531662,8.207872,9.922406,8.297532,13.414121,8.914083,1.814677
beta_net_norm,0.5,7.788355,4.814015,7.278037,3.779399,7.129652,7.127419,9.330575,12.669188,13.503675,16.024427,16.753189,15.584220,21.337936,24.002485,19.705322,2.620611
gamma_net_norm,1,11.384564,7.316894,10.408185,5.531715,9.078126,8.949153,11.722668,12.611440,13.246897,7.128238,11.173022,13.954693,12.498096,20.433382,12.621976,2.324713
beta_net_norm,1,10.060218,5.819076,8.925954,4.462718,8.379751,8.197448,10.912775,14.967577,16.847679,20.706324,22.820179,21.968882,32.107964,36.549034,27.816257,3.357339
gamma_pos_norm,-,6.220498,4.785418,6.578249,3.817477,6.365887,6.606029,8.326669,8.726957,8.039285,3.945611,5.248770,5.894691,4.098537,6.396901,5.209848,1.304648
gamma_na_norm,-,5.165988,2.532239,3.833983,1.716152,2.716282,2.345720,3.401482,3.899407,5.236260,3.219030,5.940987,8.071246,8.402659,14.040384,7.420920,1.020084
beta_pos_norm,-,5.517095,3.809347,5.631308,3.096884,5.880973,6.058118,7.749470,10.372832,10.163220,11.343727,10.687301,9.200692,10.568323,11.456741,11.595613,1.883888
beta_na_norm,-,4.545189,2.011610,3.299899,1.370270,2.506867,2.144173,3.169756,4.605938,6.698789,9.366693,12.135917,12.770954,21.540457,25.093838,16.223618,1.473468
