metric,neg_weight,down_blocks_0_attentions_0_transformer_blocks_0,down_blocks_0_attentions_1_transformer_blocks_0,down_blocks_1_attentions_0_transformer_blocks_0,down_blocks_1_attentions_1_transformer_blocks_0,down_blocks_2_attentions_0_transformer_blocks_0,down_blocks_2_attentions_1_transformer_blocks_0,up_blocks_1_attentions_0_transformer_blocks_0,up_blocks_1_attentions_1_transformer_blocks_0,up_blocks_1_attentions_2_transformer_blocks_0,up_blocks_2_attentions_0_transformer_blocks_0,up_blocks_2_attentions_1_transformer_blocks_0,up_blocks_2_attentions_2_transformer_blocks_0,up_blocks_3_attentions_0_transformer_blocks_0,up_blocks_3_attentions_1_transformer_blocks_0,up_blocks_3_attentions_2_transformer_blocks_0,mid_block_attentions_0_transformer_blocks_0
gamma_net_norm,0,6.229849,4.788989,6.577581,3.818315,6.366893,6.604998,8.326838,8.725962,8.037488,3.937742,5.252329,5.892832,4.094285,6.394079,5.207346,1.304596
beta_net_norm,0,5.526324,3.813399,5.631237,3.097488,5.882213,6.056937,7.750261,10.372722,10.162578,11.340923,10.696474,9.200092,10.565232,11.451546,11.593906,1.883555
gamma_net_norm,0.5,8.821545,6.058382,8.492116,4.675547,7.725587,7.777559,10.026099,10.669907,10.638927,5.521413,8.214725,9.921788,8.290306,13.409781,8.908879,1.814672
beta_net_norm,0.5,7.807890,4.821868,7.277675,3.780145,7.133558,7.127190,9.333042,12.673334,13.504457,16.023369,16.769991,15.587267,21.333017,23.994781,19.702141,2.620340
gamma_net_norm,1,11.413804,7.327935,10.407562,5.533130,9.084996,8.950510,11.726285,12.616572,13.247393,7.115655,11.183158,13.955318,12.487885,20.427528,12.614089,2.324753
beta_net_norm,1,10.090053,5.830727,8.925295,4.463597,8.386333,8.198177,10.916920,14.975976,16.849886,20.707016,22.844604,21.975576,32.101212,36.538826,27.811602,3.357129
gamma_pos_norm,-,6.229849,4.788989,6.577581,3.818315,6.366893,6.604998,8.326838,8.725962,8.037488,3.937742,5.252329,5.892832,4.094285,6.394079,5.207346,1.304596
gamma_na_norm,-,5.185868,2.539710,3.834021,1.716721,2.722159,2.348108,3.404906,3.905507,5.238537,3.214455,5.947527,8.073738,8.396679,14.037356,7.415582,1.020176
beta_pos_norm,-,5.526324,3.813399,5.631237,3.097488,5.882213,6.056937,7.750261,10.372722,10.162578,11.340923,10.696474,9.200092,10.565232,11.451546,11.593906,1.883555
beta_na_norm,-,4.565770,2.019191,3.299273,1.370505,2.512255,2.146111,3.173113,4.614408,6.701635,9.370203,12.151167,12.778256,21.536791,25.088827,16.220682,1.473590
