metric,neg_weight,down_blocks_0_attentions_0_transformer_blocks_0,down_blocks_0_attentions_1_transformer_blocks_0,down_blocks_1_attentions_0_transformer_blocks_0,down_blocks_1_attentions_1_transformer_blocks_0,down_blocks_2_attentions_0_transformer_blocks_0,down_blocks_2_attentions_1_transformer_blocks_0,up_blocks_1_attentions_0_transformer_blocks_0,up_blocks_1_attentions_1_transformer_blocks_0,up_blocks_1_attentions_2_transformer_blocks_0,up_blocks_2_attentions_0_transformer_blocks_0,up_blocks_2_attentions_1_transformer_blocks_0,up_blocks_2_attentions_2_transformer_blocks_0,up_blocks_3_attentions_0_transformer_blocks_0,up_blocks_3_attentions_1_transformer_blocks_0,up_blocks_3_attentions_2_transformer_blocks_0,mid_block_attentions_0_transformer_blocks_0
gamma_net_norm,0,6.104930,3.998222,6.215588,3.279634,5.377156,6.309483,7.636426,8.131470,7.564559,3.985966,5.283873,5.784010,4.034483,6.039587,5.044785,1.071830
beta_net_norm,0,5.198726,3.074681,5.011910,2.578600,4.880813,5.634036,6.774748,8.819224,8.837317,9.294615,9.577046,8.352002,9.595450,10.426911,10.425382,1.447863
gamma_net_norm,0.5,8.661141,4.938542,7.805983,3.970797,6.328658,7.253883,8.880232,9.956078,10.019223,5.640012,8.148802,9.548846,8.119976,12.624251,8.703157,1.490787
beta_net_norm,0.5,7.366214,3.786858,6.296456,3.115802,5.740255,6.477286,7.881017,10.789039,11.726151,13.209287,14.772911,13.836332,19.225178,21.757036,17.872391,2.013970
gamma_net_norm,1,11.217846,5.879045,9.396992,4.662307,7.280756,8.198573,10.124682,11.782742,12.478582,7.300544,11.017654,13.316313,12.206577,19.210239,12.364745,1.909750
beta_net_norm,1,9.534287,4.499408,7.581838,3.653844,6.600789,7.321030,8.988225,12.760709,14.617651,17.124882,19.969669,19.321409,28.855253,33.087730,25.320440,2.580083
gamma_pos_norm,-,6.104930,3.998222,6.215588,3.279634,5.377156,6.309483,7.636426,8.131470,7.564559,3.985966,5.283873,5.784010,4.034483,6.039587,5.044785,1.071830
gamma_na_norm,-,5.114583,1.881775,3.184417,1.384660,1.907553,1.891315,2.492846,3.662462,4.933131,3.336585,5.744927,7.538971,8.174294,13.173198,7.327610,0.837938
beta_pos_norm,-,5.198726,3.074681,5.011910,2.578600,4.880813,5.634036,6.774748,8.819224,8.837317,9.294615,9.577046,8.352002,9.595450,10.426911,10.425382,1.447863
beta_na_norm,-,4.337547,1.426712,2.574022,1.080098,1.727257,1.690772,2.220157,3.951632,5.791138,7.833375,10.395157,10.971286,19.260490,22.661911,14.897548,1.132240
